milliseconds,paper,gear,position
13581,1,1,226465
13591,1,1,226471
13601,1,1,226474
13611,1,1,226473
13621,1,1,226362
13631,1,1,226194
13641,1,1,225975
13651,1,1,225743
13661,1,1,225530
13671,1,1,225289
13681,1,1,225048
13691,1,1,224848
13701,1,1,224750
13711,1,1,224707
13721,1,1,224686
13731,1,1,224684
13741,1,1,224677
13751,1,1,224674
13761,1,1,224675
13771,1,1,224790
13782,1,1,224963
13791,1,1,225157
13801,1,1,225391
13811,1,1,225630
13821,1,1,225871
13831,1,1,226086
13841,1,1,226293
13851,1,1,226402
13861,1,1,226444
13871,1,1,226461
13881,1,1,226467
13891,1,1,226470
13901,1,1,226474
13911,1,1,226474
13921,1,1,226474
13931,1,1,226474
13941,1,1,226474
13952,1,1,226474
13961,1,1,226474
