timestamp,position,count,us_per_position
13782892,7638,1,70
13784012,7654,1,70
13785144,7670,1,66
13786272,7687,1,69
13787388,7703,1,69
13788500,7719,1,73
13789600,7734,1,69
13790712,7750,1,66
13791836,7767,1,69
13792948,7783,1,73
13794052,7798,1,69
13795164,7814,1,66
13796292,7831,1,70
13797412,7847,1,69
13798524,7863,1,69
13799640,7879,1,69
13800748,7895,1,73
13801852,7910,1,69
13802964,7926,1,69
13804076,7942,1,66
13805200,7959,1,73
13806300,7974,1,66
13807424,7991,1,69
13808536,8007,1,70
13809656,8023,1,67
13810796,8040,1,69
13811904,8056,1,69
13813020,8072,1,69
13814132,8088,1,69
13815244,8104,1,69
13816356,8120,1,69
13817468,8136,1,74
13818580,8151,1,65
13819700,8168,1,69
13820812,8184,1,69
13821924,8200,1,74
13823044,8215,1,69
13824156,8231,1,66
13825280,8248,1,69
13826392,8264,1,69
13827500,8280,1,69
13828612,8296,1,69
13829724,8312,1,68
13830824,8328,1,74
13831936,8343,1,65
13833056,8360,1,69
13834168,8376,1,70
13835288,8392,1,69
13836400,8408,1,69
13837512,8424,1,69
13838624,8440,1,69
13839736,8456,1,69
13840848,8472,1,69
13841960,8488,1,69
13843072,8504,1,70
13844192,8520,1,69
13845304,8536,1,69
13846416,8552,1,65
13847536,8569,1,69
13848652,8585,1,70
13849776,8601,1,69
13850888,8617,1,69
13851996,8633,1,69
13853108,8649,1,69
13854220,8665,1,69
13855332,8681,1,73
13856436,8696,1,70
13857560,8712,1,65
13858680,8729,1,69
13859792,8745,1,69
13860908,8761,1,69
13862020,8777,1,69
13863132,8793,1,73
13864236,8808,1,65
13865356,8825,1,69
13866468,8841,1,73
13867572,8856,1,69
13868684,8872,1,70
13869804,8888,1,66
13870928,8905,1,70
13872048,8921,1,70
13873168,8937,1,65
13874288,8954,1,69
13875400,8970,1,69
13876512,8986,1,73
13877616,9001,1,65
13878736,9018,1,69
13879848,9034,1,69
13880960,9050,1,69
13882072,9066,1,70
13883192,9082,1,70
13884316,9098,1,69
13885428,9114,1,67
13886568,9131,1,69
13887684,9147,1,70
13888804,9163,1,73
13889908,9178,1,65
13891028,9195,1,69
13892140,9211,1,69
13893256,9227,1,73
13894356,9242,1,66
13895480,9259,1,70
13896612,9275,1,69
13897724,9291,1,70
13898844,9307,1,65
13899964,9324,1,69
13901080,9340,1,68
13902180,9356,1,70
13903304,9372,1,69
13904416,9388,1,69
13905532,9404,1,69
13906644,9420,1,69
13907756,9436,1,69
13908872,9452,1,70
13909996,9468,1,69
13911112,9484,1,69
13912228,9500,1,66
13913352,9517,1,69
13914464,9533,1,69
13915580,9549,1,69
13916692,9565,1,69
13917808,9581,1,69
13918920,9597,1,69
13920032,9613,1,69
13921148,9629,1,70
13922268,9645,1,74
13923380,9660,1,69
13924492,9676,1,65
13925612,9693,1,69
13926724,9709,1,69
13927828,9725,1,70
13928948,9741,1,73
13930048,9756,1,69
13931160,9772,1,69
13932272,9788,1,69
13933384,9804,1,70
13934504,9820,1,70
13935632,9836,1,66
13936764,9853,1,69
13937876,9869,1,69
13938988,9885,1,69
13940100,9901,1,69
13941212,9917,1,69
13942324,9933,1,69
13943436,9949,1,69
13944548,9965,1,73
13945652,9980,1,66
13946776,9997,1,69
13947888,10013,1,70
